%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude
1631534998602406980,397755,1631534998598199566,,67.7963867188,21.0726222992,410.970001221,31.3439998627
1631534998724389691,397756,1631534998719248584,,67.7963943481,21.0726242065,411.200012207,31.577999115
1631534998849619563,397757,1631534998845157494,,67.7964019775,21.0726280212,411.440002441,31.8129997253
1631534998976268920,397758,1631534998968617611,,67.7964019775,21.0726280212,411.679992676,32.0530014038
1631534999101091209,397759,1631534999095825718,,67.7964096069,21.0726299286,411.920013428,32.2960014343
1631534999225410907,397760,1631534999219894345,,67.7964172363,21.0726318359,412.170013428,32.5410003662
1631534999352469223,397761,1631534999345090809,,67.7964248657,21.0726337433,412.410003662,32.7890014648
1631534999478376181,397762,1631534999473569121,,67.7964248657,21.0726356506,412.660003662,33.0349998474
1631534999599752591,397763,1631534999595749273,,67.7964324951,21.072637558,412.910003662,33.2840003967
1631534999721009865,397764,1631534999718486607,,67.7964324951,21.072637558,413.160003662,33.5320014954
1631534999851809643,397765,1631534999845328059,,67.7964401245,21.0726394653,413.399993896,33.7770004272
1631534999974404546,397766,1631534999968362448,,67.7964401245,21.0726413727,413.640014648,34.0149993896
1631535000112348371,397767,1631535000100127440,,67.7964477539,21.07264328,413.880004883,34.2509994507
1631535000218668497,397768,1631535000217910003,,67.7964553833,21.0726451874,414.089996338,34.46900177
1631535000351986957,397769,1631535000345609469,,67.7964630127,21.0726470947,414.329986572,34.702999115
1631535000478379546,397770,1631535000475447681,,67.7964630127,21.0726470947,414.570007324,34.9490013123
1631535000603453675,397771,1631535000595857469,,67.7964706421,21.0726490021,414.829986572,35.2000007629
1631535000721294317,397772,1631535000718562707,,67.7964706421,21.0726509094,415.079986572,35.4560012817
1631535000853139629,397773,1631535000845171712,,67.7964782715,21.0726528168,415.339996338,35.7099990845
1631535000980261176,397774,1631535000968280053,,67.7964782715,21.0726547241,415.589996338,35.9659996033
1631535001104183596,397775,1631535001099934582,,67.7964859009,21.0726566315,415.859985352,36.233001709
1631535001221104144,397776,1631535001218610998,,67.7964935303,21.0726585388,416.100006104,36.4770011902
1631535001350005271,397777,1631535001344938147,,67.7965011597,21.0726585388,416.350006104,36.7260017395
1631535001473698315,397778,1631535001469521333,,67.7965087891,21.0726604462,416.600006104,36.9720001221
1631535001602859793,397779,1631535001595804387,,67.7965087891,21.0726623535,416.839996338,37.2140007019
1631535001733954963,397780,1631535001728320289,,67.7965087891,21.0726642609,417.079986572,37.4580001831
1631535001851262103,397781,1631535001846738882,,67.7965164185,21.0726661682,417.329986572,37.7050018311
1631535001972613264,397782,1631535001968219675,,67.7965240479,21.0726680756,417.579986572,37.9570007324
1631535002106579851,397783,1631535002100473018,,67.7965316772,21.0726680756,417.850006104,38.2229995728
1631535002222458226,397784,1631535002218428924,,67.7965316772,21.0726699829,418.089996338,38.466999054
1631535002352811477,397785,1631535002345304520,,67.7965393066,21.0726718903,418.350006104,38.7210006714
1631535002475402508,397786,1631535002473494449,,67.796546936,21.0726737976,418.600006104,38.9720001221
1631535002600238717,397787,1631535002595919879,,67.796546936,21.072675705,418.839996338,39.2130012512
1631535002724562767,397788,1631535002719086685,,67.796546936,21.0726776123,419.070007324,39.4490013123
1631535002858892041,397789,1631535002845107563,,67.7965545654,21.0726776123,419.309997559,39.6800003052
