rosbagTimestamp_in_nanoseconds,header,seq,stamp,secs,nsecs,frame_id,latitude,longitude,altitude,relative_altitude
1639659287011608345,,3826,,1639659287,10343924,'',55.4716339111,10.3260211945,29.8500003815,0.995000004768
1639659287051366050,,3827,,1639659287,50098013,'',55.4716339111,10.3260211945,29.8500003815,0.996999979019
1639659287094097880,,3828,,1639659287,92764562,'',55.4716339111,10.3260211945,29.8500003815,0.998000025749
1639659287131438038,,3829,,1639659287,130149905,'',55.4716339111,10.3260211945,29.8500003815,0.999000012875
1639659287170587101,,3830,,1639659287,169293943,'',55.4716339111,10.3260211945,29.8600006104,1.00100004673
1639659287211746507,,3831,,1639659287,210167237,'',55.4716339111,10.3260211945,29.8600006104,1.00199997425
1639659287250848754,,3832,,1639659287,250169711,'',55.4716339111,10.3260211945,29.8600006104,1.00300002098
1639659287294618699,,3833,,1639659287,292920260,'',55.4716339111,10.3260211945,29.8600006104,1.00499999523
1639659287330943302,,3834,,1639659287,330281539,'',55.4716339111,10.3260211945,29.8600006104,1.00600004196
1639659287371138929,,3835,,1639659287,370357581,'',55.4716339111,10.3260211945,29.8600006104,1.00699996948
1639659287411153627,,3836,,1639659287,410120822,'',55.4716339111,10.3260211945,29.8600006104,1.00800001621
1639659287451517510,,3837,,1639659287,450284513,'',55.4716339111,10.3260211945,29.8700008392,1.00999999046
1639659287495029407,,3838,,1639659287,492702517,'',55.4716339111,10.3260211945,29.8700008392,1.01100003719
1639659287530039124,,3839,,1639659287,529284528,'',55.4716339111,10.3260211945,29.8700008392,1.01199996471
1639659287571868933,,3840,,1639659287,570589408,'',55.4716339111,10.3260211945,29.8700008392,1.01300001144
1639659287611383437,,3841,,1639659287,610187240,'',55.4716339111,10.3260211945,29.8700008392,1.01499998569
1639659287651618968,,3842,,1639659287,650336499,'',55.4716339111,10.3260211945,29.8700008392,1.01600003242
1639659287694419886,,3843,,1639659287,692671462,'',55.4716339111,10.3260211945,29.8700008392,1.01800000668
1639659287730520615,,3844,,1639659287,729317154,'',55.4716339111,10.3260211945,29.8700008392,1.01900005341
1639659287771013779,,3845,,1639659287,770132176,'',55.4716339111,10.3260211945,29.8799991608,1.02100002766
1639659287811577760,,3846,,1639659287,810296762,'',55.4716339111,10.3260211945,29.8799991608,1.02199995518
1639659287851072231,,3847,,1639659287,850179140,'',55.4716339111,10.3260211945,29.8799991608,1.02400004864
1639659287895609989,,3848,,1639659287,892901273,'',55.4716339111,10.3260211945,29.8799991608,1.02499997616
1639659287934463818,,3849,,1639659287,931172924,'',55.4716339111,10.3260211945,29.8799991608,1.02600002289
1639659287971547911,,3850,,1639659287,970184321,'',55.4716339111,10.3260211945,29.8799991608,1.02799999714
1639659288013276664,,3851,,1639659288,10318156,'',55.4716339111,10.3260211945,29.8799991608,1.02900004387
1639659288053345443,,3852,,1639659288,51971645,'',55.4716339111,10.3260211945,29.8899993896,1.03100001812
1639659288096100184,,3853,,1639659288,92846922,'',55.4716339111,10.3260211945,29.8899993896,1.03199994564
1639659288131603119,,3854,,1639659288,130120041,'',55.4716339111,10.3260211945,29.8899993896,1.03299999237
1639659288171343288,,3855,,1639659288,170312788,'',55.4716339111,10.3260211945,29.8899993896,1.03499996662
1639659288211017728,,3856,,1639659288,210124573,'',55.4716339111,10.3260211945,29.8899993896,1.03600001335
1639659288250557704,,3857,,1639659288,249234723,'',55.4716339111,10.3260211945,29.8899993896,1.03699994087
1639659288295936873,,3858,,1639659288,292832860,'',55.4716339111,10.3260211945,29.8899993896,1.03900003433
1639659288330990110,,3859,,1639659288,330205819,'',55.4716339111,10.3260211945,29.8999996185,1.03999996185
1639659288371769035,,3860,,1639659288,370315461,'',55.4716339111,10.3260211945,29.8999996185,1.04200005531
1639659288411094066,,3861,,1639659288,409983374,'',55.4716339111,10.3260211945,29.8999996185,1.04299998283
1639659288451534622,,3862,,1639659288,450348377,'',55.4716339111,10.3260211945,29.8999996185,1.04499995708
1639659288493576753,,3863,,1639659288,492832206,'',55.4716339111,10.3260211945,29.8999996185,1.04600000381
1639659288531364625,,3864,,1639659288,530288333,'',55.4716339111,10.3260211945,29.8999996185,1.04799997807
1639659288571192091,,3865,,1639659288,570135670,'',55.4716339111,10.3260211945,29.9099998474,1.04999995232
1639659288609919007,,3866,,1639659288,609244028,'',55.4716339111,10.3260211945,29.9099998474,1.05099999905
1639659288651383119,,3867,,1639659288,650189898,'',55.4716339111,10.3260211945,29.9099998474,1.0529999733
1639659288694764040,,3868,,1639659288,692682399,'',55.4716339111,10.3260211945,29.9099998474,1.05400002003
1639659288731765765,,3869,,1639659288,730388319,'',55.4716339111,10.3260211945,29.9099998474,1.05599999428
1639659288771611758,,3870,,1639659288,770492553,'',55.4716339111,10.3260211945,29.9099998474,1.05799996853
1639659288811976281,,3871,,1639659288,810352243,'',55.4716339111,10.3260211945,29.9099998474,1.05900001526
1639659288851219104,,3872,,1639659288,850101147,'',55.4716339111,10.3260211945,29.9200000763,1.06099998951
1639659288894384376,,3873,,1639659288,892970578,'',55.4716339111,10.3260211945,29.9200000763,1.06200003624
1639659288931000563,,3874,,1639659288,930141007,'',55.4716339111,10.3260211945,29.9200000763,1.06400001049
1639659288970400474,,3875,,1639659288,969236790,'',55.4716339111,10.3260211945,29.9200000763,1.06500005722
1639659289011981451,,3876,,1639659289,10129091,'',55.4716339111,10.3260211945,29.9200000763,1.06700003147
1639659289051423923,,3877,,1639659289,50136557,'',55.4716339111,10.3260211945,29.9200000763,1.06900000572
1639659289094758475,,3878,,1639659289,92797986,'',55.4716339111,10.3260211945,29.9300003052,1.07000005245
1639659289131198886,,3879,,1639659289,130256866,'',55.4716339111,10.3260211945,29.9300003052,1.0720000267
1639659289171511313,,3880,,1639659289,170322124,'',55.4716339111,10.3260211945,29.9300003052,1.07400000095
1639659289211753116,,3881,,1639659289,210441014,'',55.4716339111,10.3260211945,29.9300003052,1.07500004768
1639659289251892582,,3882,,1639659289,250570689,'',55.4716339111,10.3260211945,29.9300003052,1.07700002193
1639659289294325819,,3883,,1639659289,292765268,'',55.4716339111,10.3260211945,29.9300003052,1.07799994946
1639659289330393492,,3884,,1639659289,329261359,'',55.4716339111,10.3260211945,29.9300003052,1.07899999619
1639659289371511618,,3885,,1639659289,370355102,'',55.4716339111,10.3260211945,29.9400005341,1.08000004292
1639659289409746981,,3886,,1639659289,409136258,'',55.4716339111,10.3260211945,29.9400005341,1.08099997044
1639659289451411254,,3887,,1639659289,450363377,'',55.4716339111,10.3260211945,29.9400005341,1.08200001717
1639659289495192688,,3888,,1639659289,492782214,'',55.4716339111,10.3260211945,29.9400005341,1.08299994469
1639659289531536010,,3889,,1639659289,530382661,'',55.4716339111,10.3260211945,29.9400005341,1.08399999142
